epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.029,1.29788,3.10136,1.53932,0.30639,0.53098,0.36376,0.25442,0.96529,4.17268,1.3082,0.00015719,0.00015719,0.00015719
2,313.448,1.02351,1.72669,1.23146,0.31706,0.398,0.45081,0.32434,1.05599,2.98206,1.13014,0.000322162,0.000322162,0.000322162
3,383.094,0.94354,1.35471,1.1244,0.44552,0.625,0.51887,0.39083,0.99213,2.32222,1.06075,0.000480344,0.000480344,0.000480344
4,453.59,0.97844,1.31176,1.14031,0.54583,0.4875,0.53854,0.36902,1.09898,2.94615,1.1253,0.000631735,0.000631735,0.000631735
5,523.162,0.96527,1.20344,1.12806,0.32076,0.3492,0.19781,0.13265,1.40594,4.3645,1.2587,0.000776336,0.000776336,0.000776336
6,593.328,0.97148,1.15885,1.16843,0.29408,0.46181,0.33313,0.21941,1.36224,2.81365,1.27084,0.000914146,0.000914146,0.000914146
7,662.812,1.01533,1.1364,1.1841,0.57523,0.419,0.44871,0.30278,1.31355,2.20733,1.3769,0.00104516,0.00104516,0.00104516
8,732.93,0.95,1.05012,1.16778,0.40475,0.44306,0.40384,0.27427,1.15929,2.29273,1.24797,0.00116939,0.00116939,0.00116939
9,803.686,0.9135,1.00646,1.1484,0.58717,0.68194,0.65787,0.45461,1.14669,1.4408,1.21071,0.00120265,0.00120265,0.00120265
10,873.763,0.96084,0.99644,1.16955,0.55383,0.69722,0.61906,0.4161,1.18918,1.56334,1.26342,0.00117435,0.00117435,0.00117435
11,943.529,0.94988,0.92508,1.15259,0.74013,0.63765,0.61411,0.42401,1.18441,1.50271,1.22772,0.00114606,0.00114606,0.00114606
12,1014.6,0.92454,0.89543,1.12949,0.57786,0.58674,0.57138,0.39381,1.13673,1.8623,1.22887,0.00111776,0.00111776,0.00111776
13,1084.99,0.91576,0.89908,1.11623,0.72579,0.55789,0.60304,0.43753,1.06949,1.61689,1.18725,0.00108947,0.00108947,0.00108947
14,1156,0.86629,0.81315,1.081,0.64497,0.5726,0.6163,0.44058,1.11518,1.40838,1.24299,0.00106118,0.00106118,0.00106118
15,1226.35,0.9246,0.83258,1.12204,0.50206,0.51869,0.5434,0.38488,1.09231,1.78799,1.20768,0.00103288,0.00103288,0.00103288
16,1295.77,0.85216,0.77216,1.08564,0.64392,0.63681,0.65852,0.47224,1.05636,1.28592,1.18897,0.00100459,0.00100459,0.00100459
17,1365.89,0.82715,0.75479,1.06445,0.74041,0.69583,0.74313,0.5505,1.00898,1.02677,1.12932,0.000976293,0.000976293,0.000976293
18,1436.3,0.88192,0.76674,1.10234,0.70834,0.64657,0.67567,0.4856,1.06021,1.15098,1.13313,0.000947999,0.000947999,0.000947999
