epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.80214,0.93411,2.78088,1.12118,0.13864,0.49998,0.16977,0.10424,0.72127,3.41833,0.96983,0.00015719,0.00015719,0.00015719
2,8.62343,0.72376,1.62217,0.87179,0.28502,0.6157,0.37858,0.2782,0.69626,3.08954,0.82358,0.000326507,0.000326507,0.000326507
3,11.972,0.63197,1.14288,0.78502,0.43891,0.51687,0.48761,0.35056,0.70477,2.53005,0.80788,0.000493567,0.000493567,0.000493567
4,15.3531,0.68221,1.1836,0.84425,0.35233,0.55125,0.47807,0.34939,0.7267,3.72297,0.86017,0.000658371,0.000658371,0.000658371
5,18.6042,0.65753,1.01681,0.82881,0.41843,0.53665,0.39511,0.27783,0.72409,2.02224,0.85366,0.000820917,0.000820917,0.000820917
6,21.8119,0.65274,0.88973,0.821,0.44173,0.44019,0.41931,0.28559,0.85622,1.64126,0.96524,0.000981206,0.000981206,0.000981206
7,24.9939,0.65698,0.82403,0.82803,0.4675,0.42381,0.35428,0.24014,0.88105,1.97185,0.93973,0.00113924,0.00113924,0.00113924
8,28.2106,0.66745,0.86859,0.83372,0.54561,0.4331,0.4477,0.285,0.82276,2.00546,0.92551,0.00129501,0.00129501,0.00129501
9,31.3362,0.66303,0.8911,0.84882,0.47443,0.48128,0.4219,0.27197,0.86712,1.79035,0.94386,0.00135377,0.00135377,0.00135377
10,34.465,0.64663,0.82222,0.81041,0.41008,0.50293,0.34347,0.2111,0.9103,2.12375,0.98574,0.00134437,0.00134437,0.00134437
11,37.6367,0.62251,0.75033,0.80975,0.61796,0.40969,0.41754,0.28689,0.84317,1.85586,0.95565,0.00133496,0.00133496,0.00133496
12,40.7666,0.61959,0.69629,0.79185,0.45561,0.47948,0.35513,0.2371,0.8293,2.09345,0.97666,0.00132556,0.00132556,0.00132556
13,43.9089,0.63461,0.72414,0.8259,0.58265,0.46458,0.48648,0.34431,0.77998,1.43872,0.88793,0.00131615,0.00131615,0.00131615
14,47.0633,0.6237,0.65944,0.81093,0.46155,0.64969,0.51596,0.36546,0.78783,1.37879,0.90544,0.00130675,0.00130675,0.00130675
15,50.3205,0.61281,0.67208,0.81576,0.57366,0.47166,0.52041,0.37376,0.77179,1.2658,0.86417,0.00129735,0.00129735,0.00129735
16,53.7365,0.6429,0.69655,0.82841,0.67979,0.54951,0.58806,0.4063,0.76577,1.20653,0.86304,0.00128794,0.00128794,0.00128794
17,56.99,0.61169,0.63717,0.7936,0.63875,0.63538,0.59041,0.42124,0.73847,1.14175,0.84822,0.00127854,0.00127854,0.00127854
18,60.266,0.64722,0.76194,0.84478,0.58394,0.57446,0.54784,0.38824,0.7642,1.10896,0.85127,0.00126913,0.00126913,0.00126913
19,63.4356,0.61668,0.6578,0.79954,0.63321,0.64758,0.58728,0.40654,0.76496,0.96128,0.85043,0.00125973,0.00125973,0.00125973
20,66.6635,0.58511,0.63144,0.7795,0.60041,0.66005,0.58726,0.42741,0.71937,1.05631,0.81187,0.00125033,0.00125033,0.00125033
21,69.8506,0.60499,0.65878,0.79927,0.5782,0.69651,0.59205,0.42279,0.6993,1.06388,0.82539,0.00124092,0.00124092,0.00124092
22,73.0234,0.60713,0.70242,0.80879,0.68598,0.66037,0.66955,0.48607,0.68124,0.99048,0.81566,0.00123152,0.00123152,0.00123152
23,76.2323,0.55387,0.59259,0.76485,0.64589,0.66797,0.64838,0.46168,0.68821,0.93757,0.82978,0.00122211,0.00122211,0.00122211
24,79.3625,0.56464,0.58958,0.77608,0.64381,0.64331,0.68274,0.50568,0.64588,0.99163,0.79398,0.00121271,0.00121271,0.00121271
25,82.8159,0.53296,0.54601,0.74479,0.7259,0.61468,0.69165,0.47512,0.69575,0.90699,0.81351,0.00120331,0.00120331,0.00120331
26,85.9672,0.55003,0.57479,0.77078,0.62148,0.74017,0.67185,0.48109,0.70165,0.866,0.80156,0.0011939,0.0011939,0.0011939
27,89.1441,0.55952,0.57399,0.75463,0.63199,0.75871,0.66654,0.47416,0.68671,0.87552,0.83598,0.0011845,0.0011845,0.0011845
28,92.3064,0.57985,0.62196,0.80393,0.64699,0.63279,0.61779,0.41606,0.81305,0.98245,0.92226,0.0011751,0.0011751,0.0011751
29,95.6408,0.54444,0.55002,0.75374,0.65798,0.73351,0.72013,0.50437,0.6986,0.85543,0.81856,0.00116569,0.00116569,0.00116569
30,98.7671,0.5574,0.5872,0.75969,0.65348,0.67999,0.66916,0.45235,0.7066,0.93148,0.82086,0.00115629,0.00115629,0.00115629
31,101.894,0.53234,0.54161,0.75317,0.67388,0.67891,0.68623,0.48251,0.66614,0.85137,0.79321,0.00114688,0.00114688,0.00114688
32,105.013,0.54539,0.55825,0.75507,0.66267,0.71251,0.73328,0.53097,0.66544,0.84536,0.79567,0.00113748,0.00113748,0.00113748
33,108.3,0.52596,0.50768,0.74539,0.65845,0.75261,0.71276,0.50795,0.70158,0.81592,0.82402,0.00112808,0.00112808,0.00112808
34,111.455,0.52971,0.5164,0.7504,0.73888,0.72493,0.68792,0.474,0.72867,0.83155,0.83207,0.00111867,0.00111867,0.00111867
35,114.603,0.5,0.49197,0.72678,0.72173,0.63632,0.63118,0.46822,0.68766,0.90348,0.83607,0.00110927,0.00110927,0.00110927
36,117.737,0.51123,0.49113,0.74182,0.69567,0.64831,0.6577,0.48388,0.68053,0.96409,0.82542,0.00109986,0.00109986,0.00109986
37,120.871,0.4877,0.50586,0.74082,0.63296,0.73083,0.70484,0.5188,0.67197,0.87805,0.82166,0.00109046,0.00109046,0.00109046
38,123.989,0.50563,0.48753,0.75457,0.76836,0.63376,0.69883,0.5186,0.67494,0.89998,0.81185,0.00108106,0.00108106,0.00108106
39,127.116,0.53017,0.517,0.75142,0.70877,0.6649,0.69775,0.51735,0.66582,0.85841,0.80477,0.00107165,0.00107165,0.00107165
40,130.224,0.52844,0.52133,0.77491,0.69941,0.72497,0.725,0.54696,0.66545,0.77882,0.81266,0.00106225,0.00106225,0.00106225
41,133.431,0.50485,0.49526,0.73412,0.75778,0.67078,0.75193,0.57073,0.62747,0.84282,0.79436,0.00105285,0.00105285,0.00105285
42,136.66,0.51039,0.51828,0.74004,0.69439,0.73246,0.69078,0.52496,0.64332,0.8227,0.77738,0.00104344,0.00104344,0.00104344
43,139.795,0.4629,0.44893,0.71403,0.69322,0.73808,0.64415,0.45812,0.70332,0.89486,0.81167,0.00103404,0.00103404,0.00103404
44,142.918,0.47078,0.45372,0.72258,0.72177,0.71558,0.71874,0.53798,0.6475,0.72186,0.78171,0.00102463,0.00102463,0.00102463
45,146.066,0.48805,0.47194,0.73167,0.75053,0.68287,0.72485,0.55864,0.63266,0.7345,0.76772,0.00101523,0.00101523,0.00101523
46,149.24,0.50088,0.48826,0.72978,0.73195,0.70219,0.7005,0.52326,0.6585,0.84971,0.78867,0.00100583,0.00100583,0.00100583
47,152.371,0.47119,0.47444,0.71315,0.73666,0.71429,0.72507,0.55406,0.62827,0.79577,0.77135,0.000996422,0.000996422,0.000996422
48,155.465,0.49545,0.48351,0.74167,0.74896,0.73287,0.75177,0.57135,0.65096,0.71507,0.7924,0.000987018,0.000987018,0.000987018
49,158.834,0.46532,0.45043,0.72572,0.75555,0.68493,0.72599,0.53635,0.64133,0.79941,0.78496,0.000977614,0.000977614,0.000977614
50,161.975,0.45886,0.45489,0.71285,0.75689,0.73367,0.75587,0.56444,0.62971,0.77666,0.77432,0.00096821,0.00096821,0.00096821
51,165.107,0.47187,0.47066,0.7185,0.74807,0.75884,0.76888,0.56508,0.64721,0.74946,0.77678,0.000958807,0.000958807,0.000958807
52,168.227,0.45238,0.42821,0.70063,0.69524,0.73721,0.71446,0.52917,0.66579,0.83472,0.79077,0.000949403,0.000949403,0.000949403
53,171.327,0.46983,0.4693,0.7223,0.70957,0.69765,0.69156,0.50115,0.65978,0.80822,0.78042,0.000939999,0.000939999,0.000939999
54,174.489,0.46739,0.44609,0.72382,0.67321,0.77338,0.70415,0.52528,0.68193,0.79406,0.78804,0.000930595,0.000930595,0.000930595
55,177.646,0.44694,0.4307,0.70439,0.65674,0.78966,0.73091,0.57259,0.63875,0.75681,0.77623,0.000921191,0.000921191,0.000921191
56,180.873,0.43767,0.41945,0.70165,0.70345,0.69981,0.7508,0.57723,0.62433,0.74475,0.76619,0.000911787,0.000911787,0.000911787
57,184.27,0.45833,0.45812,0.70916,0.6838,0.74877,0.74834,0.56246,0.65259,0.7449,0.78166,0.000902383,0.000902383,0.000902383
58,187.832,0.44362,0.44108,0.70651,0.69179,0.70037,0.73607,0.57796,0.61835,0.73543,0.76974,0.00089298,0.00089298,0.00089298
59,191.147,0.42715,0.39357,0.7022,0.73413,0.65546,0.7265,0.56302,0.63736,0.75609,0.7905,0.000883576,0.000883576,0.000883576
60,194.308,0.44736,0.41869,0.70417,0.67763,0.74416,0.71112,0.53419,0.6601,0.75014,0.79024,0.000874172,0.000874172,0.000874172
61,197.464,0.43475,0.4092,0.69114,0.71363,0.70174,0.67868,0.52828,0.65147,0.75477,0.80799,0.000864768,0.000864768,0.000864768
62,200.79,0.44856,0.43395,0.71782,0.70379,0.6642,0.71134,0.53565,0.64839,0.73059,0.8023,0.000855364,0.000855364,0.000855364
63,204.145,0.41581,0.40001,0.68768,0.63074,0.81585,0.71259,0.54024,0.62914,0.76054,0.79257,0.00084596,0.00084596,0.00084596
64,207.266,0.39979,0.37423,0.68583,0.69906,0.74978,0.68138,0.50708,0.64869,0.72744,0.81801,0.000836556,0.000836556,0.000836556
65,210.383,0.447,0.41826,0.71155,0.71567,0.67562,0.67547,0.52684,0.59405,0.75291,0.78381,0.000827152,0.000827152,0.000827152
66,213.539,0.40048,0.39132,0.68657,0.76989,0.71637,0.73685,0.55315,0.62168,0.71664,0.79022,0.000817749,0.000817749,0.000817749
67,217.15,0.40915,0.37317,0.69033,0.74555,0.76703,0.77004,0.58887,0.62789,0.65721,0.78356,0.000808345,0.000808345,0.000808345
68,221.271,0.40055,0.38391,0.68822,0.74651,0.73509,0.76175,0.56292,0.67128,0.70059,0.81445,0.000798941,0.000798941,0.000798941
69,224.828,0.40326,0.40533,0.68938,0.74504,0.67688,0.7443,0.55348,0.62104,0.70131,0.77895,0.000789537,0.000789537,0.000789537
70,227.987,0.41243,0.38857,0.69032,0.64403,0.76913,0.73909,0.55571,0.63136,0.83881,0.77569,0.000780133,0.000780133,0.000780133
71,231.109,0.39567,0.3903,0.68495,0.78453,0.69322,0.76527,0.59847,0.59555,0.74438,0.75983,0.000770729,0.000770729,0.000770729
72,234.357,0.39979,0.38698,0.68671,0.68203,0.79611,0.75222,0.56683,0.63983,0.76438,0.79914,0.000761325,0.000761325,0.000761325
73,237.562,0.3953,0.39102,0.69278,0.69943,0.76191,0.76414,0.55866,0.64717,0.73927,0.8105,0.000751922,0.000751922,0.000751922
74,240.748,0.38843,0.34782,0.68438,0.70701,0.71786,0.79033,0.59823,0.60907,0.70105,0.77841,0.000742518,0.000742518,0.000742518
75,243.93,0.3948,0.37331,0.69529,0.68809,0.76852,0.77541,0.58133,0.61879,0.68694,0.78452,0.000733114,0.000733114,0.000733114
76,247.144,0.41283,0.40561,0.6996,0.74292,0.72574,0.75585,0.56639,0.65228,0.73067,0.79816,0.00072371,0.00072371,0.00072371
77,250.439,0.39265,0.37501,0.68671,0.72849,0.77972,0.7426,0.5527,0.66993,0.74627,0.81864,0.000714306,0.000714306,0.000714306
78,253.906,0.38903,0.3706,0.67223,0.71177,0.79219,0.7556,0.55676,0.64416,0.72834,0.80427,0.000704902,0.000704902,0.000704902
79,257.497,0.38984,0.36507,0.67729,0.71641,0.76954,0.74634,0.55992,0.64159,0.71385,0.80625,0.000695498,0.000695498,0.000695498
80,261.293,0.39936,0.36936,0.67722,0.72615,0.77052,0.77326,0.59235,0.63672,0.66482,0.80422,0.000686094,0.000686094,0.000686094
81,264.881,0.37925,0.34466,0.67097,0.76333,0.72945,0.74551,0.56154,0.6555,0.69201,0.82498,0.000676691,0.000676691,0.000676691
82,268.132,0.37592,0.34731,0.67359,0.81256,0.70673,0.75463,0.58232,0.63082,0.73967,0.79821,0.000667287,0.000667287,0.000667287
83,271.493,0.37557,0.35097,0.6759,0.82459,0.6737,0.79648,0.60276,0.62995,0.66436,0.79846,0.000657883,0.000657883,0.000657883
84,275.135,0.37195,0.34991,0.67763,0.67841,0.75263,0.7875,0.58791,0.63307,0.68301,0.79621,0.000648479,0.000648479,0.000648479
85,278.313,0.37587,0.35282,0.67424,0.68746,0.75529,0.76628,0.56993,0.64754,0.69506,0.79673,0.000639075,0.000639075,0.000639075
86,281.402,0.36342,0.34503,0.67004,0.7591,0.66895,0.71117,0.53041,0.6217,0.75344,0.78012,0.000629671,0.000629671,0.000629671
87,284.67,0.3401,0.32752,0.66417,0.75942,0.70636,0.71774,0.53802,0.63341,0.74686,0.78727,0.000620267,0.000620267,0.000620267
88,287.938,0.37784,0.35252,0.67953,0.73779,0.77351,0.75,0.5639,0.67552,0.67882,0.81881,0.000610863,0.000610863,0.000610863
89,291.242,0.35361,0.34972,0.66972,0.69178,0.79915,0.76549,0.58154,0.64291,0.66774,0.81316,0.00060146,0.00060146,0.00060146
90,294.853,0.36796,0.34666,0.67299,0.68335,0.80037,0.73489,0.55684,0.63487,0.69507,0.81408,0.000592056,0.000592056,0.000592056
91,298.2,0.36049,0.3424,0.66449,0.71482,0.72895,0.73565,0.56072,0.61693,0.71452,0.80036,0.000582652,0.000582652,0.000582652
92,301.525,0.3504,0.32931,0.65762,0.6774,0.80878,0.74152,0.5631,0.63185,0.68512,0.79841,0.000573248,0.000573248,0.000573248
93,304.832,0.35298,0.32589,0.65954,0.74255,0.74469,0.74615,0.57031,0.62293,0.67359,0.79744,0.000563844,0.000563844,0.000563844
94,308.244,0.36226,0.34288,0.66673,0.80941,0.67545,0.77361,0.58745,0.62938,0.70846,0.80034,0.00055444,0.00055444,0.00055444
95,311.722,0.34206,0.31228,0.65729,0.80544,0.6966,0.77651,0.59075,0.63887,0.71902,0.80859,0.000545036,0.000545036,0.000545036
96,314.912,0.34697,0.32579,0.66162,0.83918,0.65549,0.80505,0.59076,0.64362,0.67923,0.80923,0.000535633,0.000535633,0.000535633
97,318.293,0.34803,0.32859,0.66386,0.65633,0.79985,0.78562,0.57107,0.64352,0.67402,0.78211,0.000526229,0.000526229,0.000526229
98,321.807,0.33262,0.30859,0.64454,0.70642,0.73774,0.762,0.5564,0.63082,0.73122,0.78428,0.000516825,0.000516825,0.000516825
99,325.379,0.32675,0.29557,0.6507,0.74639,0.70315,0.75732,0.57639,0.61875,0.71613,0.78605,0.000507421,0.000507421,0.000507421
100,328.604,0.32586,0.30781,0.65338,0.70865,0.77546,0.78455,0.59371,0.61104,0.6694,0.76996,0.000498017,0.000498017,0.000498017
101,332.298,0.34734,0.31648,0.66667,0.69503,0.73475,0.7918,0.60798,0.60495,0.66141,0.76089,0.000488613,0.000488613,0.000488613
102,336.076,0.30282,0.29335,0.64883,0.68288,0.74822,0.78005,0.59857,0.59626,0.67965,0.75985,0.000479209,0.000479209,0.000479209
103,339.747,0.32121,0.29856,0.65151,0.7986,0.63282,0.76885,0.58658,0.61295,0.72039,0.77413,0.000469805,0.000469805,0.000469805
104,343.275,0.32485,0.30773,0.65485,0.6538,0.78044,0.78456,0.61179,0.59804,0.74153,0.77266,0.000460402,0.000460402,0.000460402
105,346.642,0.31358,0.29126,0.65506,0.69407,0.77686,0.78231,0.62383,0.59444,0.67963,0.77384,0.000450998,0.000450998,0.000450998
106,349.894,0.3266,0.31534,0.65073,0.76559,0.71167,0.78389,0.62515,0.6177,0.64076,0.79476,0.000441594,0.000441594,0.000441594
107,353.328,0.32627,0.30486,0.65132,0.75711,0.71147,0.7788,0.60685,0.61449,0.64599,0.79179,0.00043219,0.00043219,0.00043219
108,356.73,0.30789,0.27677,0.64747,0.76146,0.72201,0.77388,0.59495,0.61411,0.65943,0.79278,0.000422786,0.000422786,0.000422786
109,359.995,0.31744,0.29467,0.66238,0.79329,0.70904,0.81321,0.61699,0.62,0.65182,0.79272,0.000413382,0.000413382,0.000413382
110,363.157,0.32165,0.29643,0.6494,0.76305,0.72433,0.80384,0.61831,0.61165,0.65738,0.77651,0.000403978,0.000403978,0.000403978
111,366.261,0.29403,0.27409,0.63992,0.74372,0.72935,0.77588,0.61318,0.60418,0.64966,0.77701,0.000394575,0.000394575,0.000394575
112,369.584,0.32035,0.29749,0.65582,0.75319,0.76837,0.79456,0.61342,0.62178,0.66002,0.7852,0.000385171,0.000385171,0.000385171
113,372.71,0.31015,0.29211,0.65098,0.80355,0.72966,0.77913,0.60716,0.61409,0.64909,0.77774,0.000375767,0.000375767,0.000375767
114,375.83,0.30455,0.28821,0.6467,0.71751,0.81773,0.78843,0.58646,0.6268,0.65607,0.78367,0.000366363,0.000366363,0.000366363
115,379.125,0.30093,0.27202,0.64545,0.75783,0.73083,0.77927,0.59088,0.63033,0.68066,0.77934,0.000356959,0.000356959,0.000356959
116,382.263,0.29928,0.28188,0.65024,0.71456,0.76529,0.77195,0.58261,0.63069,0.68795,0.78274,0.000347555,0.000347555,0.000347555
117,385.409,0.29739,0.27566,0.65181,0.73261,0.76127,0.73617,0.55765,0.6309,0.70603,0.78706,0.000338151,0.000338151,0.000338151
118,388.499,0.28113,0.27138,0.64669,0.71655,0.76127,0.73593,0.5485,0.63467,0.71743,0.7983,0.000328747,0.000328747,0.000328747
119,391.694,0.28949,0.26734,0.64713,0.7137,0.77154,0.7456,0.55065,0.62825,0.71797,0.7945,0.000319344,0.000319344,0.000319344
120,394.965,0.28291,0.27603,0.63679,0.63415,0.81504,0.72739,0.54617,0.61849,0.73898,0.78606,0.00030994,0.00030994,0.00030994
121,398.277,0.29354,0.26839,0.64068,0.67128,0.80063,0.7246,0.55325,0.61442,0.7355,0.78386,0.000300536,0.000300536,0.000300536
122,401.789,0.29073,0.26262,0.64757,0.70357,0.77169,0.72461,0.55761,0.61159,0.71379,0.7789,0.000291132,0.000291132,0.000291132
123,404.993,0.27531,0.26328,0.63166,0.68731,0.77169,0.75495,0.58194,0.61323,0.70486,0.77328,0.000281728,0.000281728,0.000281728
124,408.29,0.27745,0.2705,0.63094,0.68553,0.81369,0.76816,0.59666,0.61332,0.72216,0.77503,0.000272324,0.000272324,0.000272324
125,411.82,0.29535,0.28016,0.64433,0.69779,0.82519,0.76599,0.59772,0.61491,0.70781,0.7783,0.00026292,0.00026292,0.00026292
126,415.041,0.27776,0.25865,0.63156,0.7199,0.82328,0.78015,0.60464,0.61865,0.678,0.77844,0.000253517,0.000253517,0.000253517
127,418.437,0.27623,0.2508,0.62385,0.74331,0.823,0.78494,0.603,0.63655,0.65521,0.79002,0.000244113,0.000244113,0.000244113
128,421.614,0.27769,0.25974,0.63702,0.74256,0.81206,0.78552,0.60722,0.64858,0.67805,0.80007,0.000234709,0.000234709,0.000234709
129,424.744,0.28326,0.25469,0.64081,0.72521,0.82284,0.78709,0.60932,0.63428,0.68725,0.79064,0.000225305,0.000225305,0.000225305
130,427.832,0.28574,0.25682,0.63453,0.71666,0.83606,0.78858,0.60013,0.62489,0.6869,0.78708,0.000215901,0.000215901,0.000215901
131,431.179,0.2823,0.27365,0.63511,0.70455,0.84594,0.78908,0.60694,0.61688,0.67416,0.78782,0.000206497,0.000206497,0.000206497
