epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50597,0.93411,2.78088,1.12118,0.13864,0.49998,0.16977,0.10424,0.72127,3.41833,0.96983,0.00015719,0.00015719,0.00015719
2,8.19104,0.7209,1.6176,0.86812,0.28503,0.66879,0.38924,0.27895,0.67333,2.96268,0.79044,0.000328021,0.000328021,0.000328021
3,11.2895,0.64267,1.1502,0.78985,0.4652,0.44793,0.46969,0.33632,0.68255,2.33821,0.77911,0.000498175,0.000498175,0.000498175
4,14.1143,0.69575,1.17567,0.82661,0.349,0.73479,0.54654,0.36919,0.7353,3.39206,0.8115,0.000667652,0.000667652,0.000667652
5,16.9267,0.6636,1.04458,0.82142,0.38288,0.45204,0.37044,0.26052,0.74549,3.24674,0.84202,0.000836452,0.000836452,0.000836452
6,19.6108,0.66981,0.94285,0.83107,0.24987,0.28408,0.16463,0.11071,0.96626,2.35739,1.0406,0.00100457,0.00100457,0.00100457
7,22.2642,0.66012,0.87541,0.83678,0.48587,0.51287,0.423,0.28727,0.88014,1.78232,0.94413,0.00117202,0.00117202,0.00117202
8,24.9341,0.67048,0.92165,0.82746,0.59687,0.5514,0.51893,0.36165,0.78649,1.29977,0.88317,0.00133879,0.00133879,0.00133879
9,27.5789,0.66551,0.88767,0.84227,0.49399,0.57474,0.55818,0.36728,0.88067,1.38426,0.9552,0.00140643,0.00140643,0.00140643
10,30.2723,0.66706,0.83023,0.82195,0.47281,0.38305,0.37467,0.25299,0.87203,1.64924,0.93876,0.00140361,0.00140361,0.00140361
11,32.8773,0.63631,0.73534,0.80604,0.51794,0.42586,0.42164,0.26781,0.91408,1.62057,0.94488,0.00140079,0.00140079,0.00140079
12,35.5172,0.62812,0.71616,0.79196,0.48899,0.45467,0.4459,0.30164,0.88716,2.20847,0.94432,0.00139797,0.00139797,0.00139797
13,38.1803,0.64105,0.74877,0.82269,0.53126,0.50685,0.43357,0.27678,0.85683,1.85445,0.93449,0.00139515,0.00139515,0.00139515
14,40.8242,0.63247,0.7223,0.80625,0.57462,0.58548,0.51806,0.34619,0.84689,1.39595,0.95751,0.00139232,0.00139232,0.00139232
15,43.5039,0.61434,0.70009,0.80277,0.64409,0.64003,0.63691,0.45462,0.74961,1.19576,0.87538,0.0013895,0.0013895,0.0013895
16,46.2052,0.6293,0.71115,0.81411,0.65892,0.6714,0.62296,0.43679,0.74209,1.11171,0.83178,0.00138668,0.00138668,0.00138668
17,48.847,0.62016,0.73471,0.79592,0.72011,0.56199,0.68175,0.48401,0.73781,1.06177,0.85881,0.00138386,0.00138386,0.00138386
18,51.528,0.64705,0.73915,0.82445,0.69691,0.57066,0.60711,0.42394,0.76089,1.31502,0.87901,0.00138104,0.00138104,0.00138104
