epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.58252,1.35718,3.44468,1.58782,0.50463,0.21372,0.24224,0.15354,1.02826,7.38453,1.32323,0.00015719,0.00015719,0.00015719
2,8.37904,1.04794,2.1138,1.2315,0.32815,0.68567,0.40608,0.29179,0.95005,2.80808,1.04716,0.000322162,0.000322162,0.000322162
3,11.9752,0.92144,1.46048,1.11457,0.51558,0.63331,0.50325,0.37639,0.98228,2.78233,1.04975,0.000480344,0.000480344,0.000480344
4,15.5192,1.01704,1.41919,1.20327,0.36836,0.59041,0.46095,0.33014,1.0727,2.50055,1.17575,0.000631735,0.000631735,0.000631735
5,18.8946,0.95063,1.26811,1.15808,0.62476,0.55102,0.55208,0.38216,1.13436,2.16645,1.14997,0.000776336,0.000776336,0.000776336
6,22.4347,0.94343,1.14137,1.17126,0.62338,0.66959,0.55652,0.32384,1.31139,2.67085,1.27831,0.000914146,0.000914146,0.000914146
7,25.8378,0.98546,1.10841,1.20342,0.54545,0.47403,0.38624,0.24892,1.32556,2.88616,1.3236,0.00104516,0.00104516,0.00104516
8,29.226,1.00774,1.10193,1.18587,0.47502,0.34758,0.34278,0.25141,1.2132,2.50272,1.28684,0.00116939,0.00116939,0.00116939
9,32.5195,0.94398,1.0546,1.16611,0.50103,0.5098,0.43136,0.28052,1.21777,2.78877,1.34682,0.00120265,0.00120265,0.00120265
10,36.0751,0.9491,1.00778,1.15016,0.43892,0.57166,0.44418,0.30128,1.13177,3.72525,1.24969,0.00117435,0.00117435,0.00117435
11,39.2869,0.95485,0.97396,1.16035,0.66772,0.59651,0.60623,0.386,1.25182,1.66615,1.30995,0.00114606,0.00114606,0.00114606
12,42.6056,0.90791,0.8952,1.11601,0.53578,0.46046,0.50093,0.33057,1.18457,1.65498,1.23942,0.00111776,0.00111776,0.00111776
13,45.862,0.90129,0.92581,1.14392,0.63284,0.53553,0.54723,0.38912,1.11287,1.50686,1.20821,0.00108947,0.00108947,0.00108947
14,49.2358,0.88728,0.83969,1.10306,0.64941,0.63737,0.65075,0.46419,1.10728,1.27322,1.19335,0.00106118,0.00106118,0.00106118
15,52.5874,0.88196,0.81579,1.13143,0.53294,0.66383,0.64572,0.46308,1.05353,1.35627,1.13219,0.00103288,0.00103288,0.00103288
16,55.8068,0.87383,0.79736,1.09515,0.65591,0.63137,0.68348,0.49152,1.06792,1.27138,1.13756,0.00100459,0.00100459,0.00100459
17,59.1166,0.87074,0.79721,1.10032,0.83145,0.64319,0.71837,0.5283,1.05273,1.2831,1.13498,0.000976293,0.000976293,0.000976293
18,62.6382,0.88901,0.82594,1.12563,0.72935,0.69925,0.70057,0.51144,1.01446,1.1373,1.12983,0.000947999,0.000947999,0.000947999
19,65.8375,0.81471,0.74709,1.09252,0.67337,0.76185,0.66521,0.47782,1.02902,1.11615,1.14125,0.000919704,0.000919704,0.000919704
20,69.0295,0.77263,0.67852,1.04801,0.67944,0.749,0.71893,0.53157,0.97326,1.10032,1.12671,0.00089141,0.00089141,0.00089141
21,72.3743,0.80268,0.76881,1.07622,0.75959,0.64225,0.71683,0.5148,1.00498,1.03595,1.17321,0.000863116,0.000863116,0.000863116
22,75.5761,0.80922,0.72771,1.09812,0.71904,0.63309,0.73267,0.54576,0.98287,0.93207,1.14405,0.000834822,0.000834822,0.000834822
23,78.8258,0.81469,0.69001,1.09229,0.72487,0.65362,0.72258,0.54446,0.9904,1.01498,1.16367,0.000806528,0.000806528,0.000806528
24,82.0373,0.77872,0.65827,1.06356,0.6091,0.7176,0.7398,0.53856,0.98202,0.9923,1.14397,0.000778233,0.000778233,0.000778233
25,85.228,0.79359,0.65483,1.08968,0.64997,0.73945,0.74632,0.55497,0.96977,0.88468,1.11406,0.000749939,0.000749939,0.000749939
26,88.5432,0.75483,0.65115,1.05228,0.64986,0.7904,0.72645,0.52641,1.00734,0.93579,1.11103,0.000721645,0.000721645,0.000721645
27,91.7571,0.73074,0.60949,1.02244,0.68171,0.67623,0.74067,0.54448,0.96989,1.10071,1.09878,0.000693351,0.000693351,0.000693351
28,94.979,0.72636,0.62995,1.04515,0.71953,0.67528,0.74046,0.54835,0.97668,0.9253,1.12663,0.000665057,0.000665057,0.000665057
29,98.1643,0.69373,0.5781,1.0235,0.64695,0.71572,0.70281,0.51717,0.99117,0.98768,1.15338,0.000636762,0.000636762,0.000636762
30,101.378,0.74642,0.62442,1.03988,0.70808,0.71315,0.7691,0.57755,0.94591,0.91895,1.1067,0.000608468,0.000608468,0.000608468
31,104.768,0.68657,0.56294,1.00738,0.7796,0.68847,0.76101,0.57354,0.90066,0.9133,1.0689,0.000580174,0.000580174,0.000580174
32,107.943,0.68796,0.55128,1.00744,0.76275,0.68236,0.77157,0.57876,0.93179,0.90593,1.06364,0.00055188,0.00055188,0.00055188
33,111.326,0.68331,0.57128,1.01771,0.74655,0.70778,0.79588,0.60354,0.90953,0.90211,1.06034,0.000523586,0.000523586,0.000523586
34,114.597,0.62848,0.49516,0.96942,0.81018,0.72686,0.79666,0.59843,0.91104,0.8745,1.06397,0.000495291,0.000495291,0.000495291
35,117.798,0.6939,0.53457,1.01522,0.73634,0.74821,0.73358,0.56626,0.91399,1.03822,1.08422,0.000466997,0.000466997,0.000466997
36,120.904,0.65768,0.52097,1.00755,0.75943,0.69728,0.72536,0.5454,0.8837,0.95965,1.08922,0.000438703,0.000438703,0.000438703
37,124.088,0.6137,0.50819,0.97534,0.72316,0.72713,0.73334,0.55002,0.92397,0.98959,1.10553,0.000410409,0.000410409,0.000410409
