epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.58422,0.82826,2.75527,1.01493,0.00375,0.5124,0.12051,0.07292,0.61725,2.73449,0.73937,0.00015719,0.00015719,0.00015719
2,5.75973,0.74694,1.94011,0.84876,0.00615,0.8381,0.2017,0.12871,0.63062,2.30005,0.68825,0.000328021,0.000328021,0.000328021
3,7.75969,0.66871,1.48888,0.79812,0.54059,0.099,0.21991,0.1507,0.6887,2.21785,0.73523,0.000498175,0.000498175,0.000498175
4,9.56448,0.71268,1.34101,0.82295,0.85681,0.09708,0.22215,0.14943,0.72372,2.39083,0.76943,0.000667652,0.000667652,0.000667652
5,11.1627,0.65719,1.22905,0.79767,0.58837,0.15533,0.26157,0.16756,0.74815,2.38927,0.81742,0.000836452,0.000836452,0.000836452
6,12.7323,0.66667,1.16694,0.80338,0.69986,0.1634,0.40184,0.2736,0.77837,2.22075,0.79855,0.00100457,0.00100457,0.00100457
7,14.2748,0.66809,1.11036,0.82702,0.62443,0.39962,0.47261,0.30699,0.76491,1.84321,0.80133,0.00117202,0.00117202,0.00117202
8,15.8715,0.68771,1.13372,0.81989,0.3535,0.57996,0.44231,0.28426,0.80242,1.74072,0.81138,0.00133879,0.00133879,0.00133879
9,17.3791,0.70212,1.14478,0.81862,0.5317,0.47394,0.43242,0.28153,0.79306,1.73301,0.80385,0.00140643,0.00140643,0.00140643
10,18.8703,0.67463,1.09319,0.78839,0.56581,0.57719,0.52561,0.34798,0.76996,1.44153,0.79287,0.00140361,0.00140361,0.00140361
11,20.3587,0.63588,0.9939,0.78736,0.52621,0.51187,0.4745,0.30943,0.82568,1.55492,0.84904,0.00140079,0.00140079,0.00140079
12,21.837,0.64003,0.90428,0.76319,0.49698,0.51423,0.40814,0.2667,0.78079,1.72324,0.8303,0.00139797,0.00139797,0.00139797
13,23.3144,0.65831,0.93732,0.7933,0.40503,0.47268,0.40913,0.26635,0.83172,1.58656,0.85389,0.00139515,0.00139515,0.00139515
14,24.8127,0.64065,0.9031,0.786,0.55157,0.50132,0.46765,0.31698,0.77006,1.51948,0.81614,0.00139232,0.00139232,0.00139232
15,26.3646,0.62021,0.89071,0.77794,0.49309,0.45171,0.4374,0.28176,0.80952,1.47849,0.82726,0.0013895,0.0013895,0.0013895
