epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.59691,1.41459,3.65318,1.62704,0.19038,0.30596,0.17398,0.10323,1.21354,3.15614,1.49713,0.00012861,0.00012861,0.00012861
2,8.28118,0.9934,2.03294,1.25855,0.39783,0.57744,0.43162,0.30111,0.97984,2.74012,1.18765,0.000268822,0.000268822,0.000268822
3,11.2675,0.9491,1.52187,1.16237,0.48452,0.58929,0.52348,0.36616,1.05171,2.7147,1.15308,0.000406205,0.000406205,0.000406205
4,14.1667,0.9262,1.33005,1.15117,0.45156,0.58003,0.53465,0.3838,1.02176,2.16134,1.1378,0.000540758,0.000540758,0.000540758
5,16.985,0.94045,1.33323,1.14845,0.42737,0.44786,0.39499,0.2626,1.1503,2.40466,1.24779,0.000672482,0.000672482,0.000672482
6,19.6676,0.90448,1.13246,1.10104,0.39236,0.51281,0.45174,0.30347,1.1994,2.40478,1.26193,0.000801376,0.000801376,0.000801376
7,22.3679,0.87652,1.07375,1.09148,0.48635,0.53959,0.50699,0.35188,1.13815,2.27206,1.23411,0.000927441,0.000927441,0.000927441
8,24.9983,0.86966,0.97676,1.10668,0.4543,0.60155,0.50714,0.35245,1.09955,2.20672,1.22628,0.00105068,0.00105068,0.00105068
9,27.6775,0.87748,0.98664,1.11303,0.58363,0.58153,0.61245,0.41032,1.15057,1.86105,1.27368,0.00117108,0.00117108,0.00117108
10,30.4056,0.8976,0.96045,1.13971,0.5546,0.507,0.52705,0.36447,1.14941,1.75164,1.30773,0.00128866,0.00128866,0.00128866
11,32.9018,0.94979,0.97653,1.17649,0.50382,0.4237,0.4416,0.3092,1.15245,1.99527,1.33283,0.00128753,0.00128753,0.00128753
12,35.4219,0.9005,0.9399,1.11737,0.49808,0.53947,0.54102,0.35323,1.19374,2.11207,1.33045,0.00127338,0.00127338,0.00127338
13,37.9256,0.89515,0.95018,1.14895,0.66429,0.59043,0.59443,0.38614,1.20953,1.49472,1.30493,0.00125923,0.00125923,0.00125923
14,40.4299,0.90326,0.88059,1.13507,0.58147,0.51194,0.53234,0.35243,1.21607,1.818,1.3253,0.00124509,0.00124509,0.00124509
15,42.9488,0.85833,0.8839,1.1154,0.62968,0.60015,0.60506,0.41791,1.14564,1.57718,1.25839,0.00123094,0.00123094,0.00123094
16,45.531,0.82691,0.78454,1.10013,0.65804,0.47323,0.5488,0.32501,1.32273,1.81557,1.42636,0.00121679,0.00121679,0.00121679
17,48.065,0.82129,0.76729,1.10923,0.52795,0.49253,0.47681,0.30831,1.38302,2.1102,1.49792,0.00120265,0.00120265,0.00120265
18,50.6056,0.83909,0.79683,1.12526,0.67594,0.61284,0.64369,0.45809,1.11806,1.42708,1.23533,0.0011885,0.0011885,0.0011885
19,53.1917,0.83247,0.78551,1.0883,0.51584,0.66533,0.58105,0.41002,1.10309,1.72479,1.24624,0.00117435,0.00117435,0.00117435
20,55.7093,0.80596,0.77757,1.09586,0.56169,0.66799,0.63461,0.4501,1.08132,1.34992,1.21517,0.00116021,0.00116021,0.00116021
21,58.2171,0.78335,0.73888,1.07735,0.71069,0.62399,0.7115,0.49117,1.12282,1.22499,1.24665,0.00114606,0.00114606,0.00114606
