epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54072,1.35718,3.44468,1.58782,0.50463,0.21372,0.24224,0.15354,1.02826,7.38453,1.32323,0.00015719,0.00015719,0.00015719
2,8.16888,1.05166,2.11396,1.2344,0.306,0.70792,0.40723,0.2913,0.92936,2.77051,1.04678,0.000328019,0.000328019,0.000328019
3,10.958,0.91923,1.46574,1.12724,0.51659,0.58789,0.46909,0.32946,1.05017,2.90034,1.12533,0.000498169,0.000498169,0.000498169
4,13.8071,1.02423,1.39667,1.19928,0.47407,0.57544,0.53619,0.38154,1.117,2.4592,1.14445,0.000667641,0.000667641,0.000667641
5,16.5959,0.95848,1.23151,1.14549,0.26703,0.59533,0.32483,0.21759,1.27439,2.90178,1.21112,0.000836433,0.000836433,0.000836433
6,19.2974,0.98241,1.14919,1.18832,0.23318,0.42006,0.26106,0.14213,1.81668,2.75547,1.56852,0.00100455,0.00100455,0.00100455
7,21.9503,1.0066,1.10587,1.2092,0.23723,0.36958,0.22221,0.13256,1.68032,2.60241,1.57765,0.00117198,0.00117198,0.00117198
8,24.6251,1.01431,1.13869,1.20551,0.60267,0.49597,0.47241,0.28484,1.37689,1.90295,1.41382,0.00133873,0.00133873,0.00133873
9,27.3156,0.99325,1.10741,1.18136,0.50228,0.5264,0.53632,0.35444,1.27621,2.1635,1.37501,0.00140636,0.00140636,0.00140636
10,30.0676,0.97042,1.04332,1.16238,0.45217,0.47072,0.46466,0.31175,1.22271,2.37934,1.26052,0.00140354,0.00140354,0.00140354
11,32.7635,0.96982,0.97865,1.17796,0.49569,0.59647,0.53517,0.35454,1.19206,1.98466,1.26318,0.00140071,0.00140071,0.00140071
12,35.5081,0.93509,0.91407,1.14065,0.57113,0.66655,0.5948,0.39559,1.14441,1.54775,1.24288,0.00139788,0.00139788,0.00139788
13,38.3003,0.93589,0.95847,1.1811,0.64947,0.56154,0.59645,0.4217,1.15768,1.49148,1.2577,0.00139505,0.00139505,0.00139505
14,41.1118,0.95513,0.89121,1.15144,0.59688,0.58489,0.55799,0.38614,1.16574,1.72874,1.21757,0.00139222,0.00139222,0.00139222
15,43.8313,0.91096,0.84983,1.1655,0.68748,0.48217,0.53449,0.37734,1.10475,1.68934,1.20305,0.00138939,0.00138939,0.00138939
16,46.6085,0.8966,0.8715,1.14161,0.65154,0.57638,0.5985,0.41432,1.18149,1.46448,1.23613,0.00138656,0.00138656,0.00138656
17,49.3824,0.9262,0.87861,1.14026,0.66229,0.63848,0.65407,0.46902,1.07987,1.28229,1.19694,0.00138373,0.00138373,0.00138373
18,52.1568,0.93916,0.90641,1.15305,0.64482,0.6525,0.65373,0.45506,0.99614,1.20854,1.12363,0.0013809,0.0013809,0.0013809
19,54.947,0.89801,0.83965,1.13437,0.63525,0.68627,0.67002,0.47461,1.12555,1.28564,1.21383,0.00137807,0.00137807,0.00137807
20,57.6795,0.84468,0.74537,1.09207,0.52581,0.69077,0.5894,0.42037,1.07515,1.46895,1.22005,0.00137524,0.00137524,0.00137524
21,60.5892,0.86911,0.83602,1.1161,0.61462,0.61774,0.61347,0.43332,1.07746,1.54829,1.19053,0.00137241,0.00137241,0.00137241
22,63.8835,0.87865,0.83093,1.15045,0.6213,0.59628,0.62461,0.42648,1.06472,1.30586,1.16288,0.00136958,0.00136958,0.00136958
23,67.247,0.87179,0.75682,1.13573,0.58292,0.60507,0.58542,0.42047,0.99816,1.31274,1.15384,0.00136675,0.00136675,0.00136675
24,70.5938,0.90558,0.81799,1.12604,0.55284,0.54834,0.5362,0.36808,1.08219,1.41887,1.1903,0.00136392,0.00136392,0.00136392
25,74.0499,0.893,0.80868,1.14048,0.64688,0.4878,0.57234,0.41537,1.06867,1.36057,1.17619,0.00136109,0.00136109,0.00136109
26,77.449,0.85346,0.76173,1.11113,0.55999,0.63403,0.56014,0.3834,1.08587,1.30261,1.15777,0.00135826,0.00135826,0.00135826
27,80.7793,0.82,0.7327,1.0721,0.72676,0.63237,0.66443,0.45575,1.03611,1.1927,1.18211,0.00135544,0.00135544,0.00135544
28,84.1553,0.82152,0.74033,1.1171,0.65388,0.66636,0.67851,0.47813,1.07787,1.1206,1.19426,0.00135261,0.00135261,0.00135261
29,87.746,0.78563,0.69661,1.08277,0.69717,0.62806,0.64002,0.46499,1.01964,1.24885,1.18279,0.00134978,0.00134978,0.00134978
30,91.0903,0.8465,0.77106,1.11369,0.7617,0.50388,0.65039,0.4709,1.05674,1.19448,1.15639,0.00134695,0.00134695,0.00134695
31,94.2905,0.80804,0.72807,1.08479,0.70606,0.61998,0.69816,0.49946,0.99032,1.06626,1.13643,0.00134412,0.00134412,0.00134412
32,97.7225,0.79773,0.71596,1.07736,0.71518,0.65189,0.69381,0.4995,1.03608,1.20417,1.18264,0.00134129,0.00134129,0.00134129
33,101.02,0.79843,0.72909,1.09662,0.68327,0.61597,0.62605,0.46221,1.01405,1.25739,1.18104,0.00133846,0.00133846,0.00133846
34,104.209,0.76687,0.70279,1.06107,0.62277,0.63941,0.63922,0.45399,1.0609,1.15986,1.23999,0.00133563,0.00133563,0.00133563
35,107.39,0.84194,0.71555,1.11668,0.63393,0.70171,0.6806,0.49887,1.0491,1.12365,1.2147,0.0013328,0.0013328,0.0013328
36,110.563,0.80391,0.68615,1.08908,0.68872,0.65826,0.69445,0.51247,1.08985,1.13905,1.20397,0.00132997,0.00132997,0.00132997
37,113.83,0.73522,0.64295,1.04776,0.75474,0.67317,0.73347,0.54416,1.07091,1.09944,1.2009,0.00132714,0.00132714,0.00132714
38,117.117,0.79104,0.68994,1.06935,0.80219,0.59896,0.69846,0.52174,1.04119,1.13277,1.1886,0.00132431,0.00132431,0.00132431
39,120.502,0.78106,0.66331,1.07557,0.65222,0.69884,0.63949,0.47138,1.00947,1.1889,1.15985,0.00132148,0.00132148,0.00132148
