epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.593,1.07961,2.84799,1.2184,0.1742,0.4172,0.17958,0.10793,0.78117,2.71664,1.02171,0.00012861,0.00012861,0.00012861
2,19.4757,0.78447,1.65423,0.94579,0.42225,0.51082,0.36947,0.24648,0.73235,2.28294,0.84267,0.00026615,0.00026615,0.00026615
3,25.9625,0.75307,1.33727,0.8661,0.40751,0.60123,0.45991,0.30459,0.78856,2.7027,0.80877,0.000398047,0.000398047,0.000398047
4,31.0609,0.71846,1.12015,0.83729,0.44708,0.57781,0.49106,0.32097,0.82357,3.31724,0.83302,0.000524302,0.000524302,0.000524302
5,36.0587,0.75849,1.13317,0.85061,0.45972,0.57883,0.48927,0.32424,0.81456,3.09816,0.89793,0.000644915,0.000644915,0.000644915
6,40.99,0.73695,1.02924,0.80252,0.51028,0.55659,0.50547,0.33611,0.81004,2.29477,0.84408,0.000759886,0.000759886,0.000759886
7,45.9481,0.71704,0.98257,0.81372,0.4984,0.68663,0.54045,0.34196,0.8863,2.60243,0.93683,0.000869214,0.000869214,0.000869214
8,50.777,0.69315,0.90683,0.82805,0.40681,0.5473,0.42749,0.26727,0.88019,2.87351,0.93716,0.0009729,0.0009729,0.0009729
9,55.1374,0.69878,0.89668,0.82541,0.38304,0.39052,0.31068,0.19088,1.05055,1.92503,1.02907,0.00107094,0.00107094,0.00107094
10,59.4474,0.7214,0.9023,0.8403,0.56587,0.48871,0.46711,0.2916,0.91571,1.69972,0.92883,0.00116334,0.00116334,0.00116334
11,63.8824,0.69818,0.83817,0.83582,0.51107,0.48642,0.44645,0.27387,1.02457,1.52828,1.01258,0.00114688,0.00114688,0.00114688
12,68.4997,0.72068,0.85381,0.82392,0.55566,0.44694,0.43815,0.26909,1.01233,1.58434,1.06344,0.00111867,0.00111867,0.00111867
13,72.7986,0.72493,0.87414,0.86776,0.50042,0.50212,0.47205,0.29051,0.92271,1.60319,0.98828,0.00109046,0.00109046,0.00109046
14,77.112,0.69069,0.81149,0.83677,0.53019,0.54484,0.52243,0.32439,0.84895,1.34099,0.92924,0.00106225,0.00106225,0.00106225
15,81.4407,0.68404,0.77548,0.81169,0.60251,0.62969,0.60503,0.4051,0.74755,1.12752,0.82924,0.00103404,0.00103404,0.00103404
