epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3788,1.25948,3.47141,1.44486,0.00442,0.61329,0.1437,0.07619,0.96242,3.37275,1.04093,0.00015719,0.00015719,0.00015719
2,5.26704,1.10596,2.47166,1.17299,0.0068,0.88333,0.19339,0.11151,1.11383,2.91212,1.04137,0.000322162,0.000322162,0.000322162
3,7.14975,0.96902,1.93617,1.09577,0.0063,0.86001,0.22951,0.15498,1.02079,2.90393,1.04348,0.000480344,0.000480344,0.000480344
4,8.69422,1.03094,1.75418,1.14245,0.61803,0.14553,0.194,0.13086,1.0148,2.92524,1.0506,0.000631735,0.000631735,0.000631735
5,10.163,0.99937,1.60238,1.1235,0.55448,0.34572,0.40266,0.28109,1.07093,2.59023,1.08171,0.000776336,0.000776336,0.000776336
6,11.7235,0.98721,1.5166,1.13004,0.4989,0.3485,0.43582,0.2959,1.12418,2.63953,1.11658,0.000914146,0.000914146,0.000914146
7,13.2188,1.02024,1.44668,1.14556,0.55292,0.32584,0.42701,0.2841,1.14572,2.65834,1.15407,0.00104516,0.00104516,0.00104516
8,14.8068,1.04104,1.44762,1.12682,0.52591,0.37919,0.38831,0.27987,1.10475,2.64202,1.13244,0.00116939,0.00116939,0.00116939
9,16.5199,0.98805,1.40241,1.11278,0.45993,0.33604,0.34625,0.24926,1.13715,2.73177,1.19008,0.00120265,0.00120265,0.00120265
10,18.1192,0.96847,1.3644,1.10653,0.56734,0.60032,0.55414,0.3759,1.03531,1.97503,1.09731,0.00117435,0.00117435,0.00117435
11,19.7477,0.93535,1.23779,1.1033,0.68166,0.59213,0.61728,0.44115,1.06665,1.57403,1.09046,0.00114606,0.00114606,0.00114606
12,21.7903,0.9207,1.17066,1.07993,0.60617,0.68943,0.57575,0.40211,1.09752,1.63784,1.11696,0.00111776,0.00111776,0.00111776
13,23.78,0.95118,1.18826,1.11152,0.73516,0.53849,0.60011,0.42298,1.06414,1.63639,1.09306,0.00108947,0.00108947,0.00108947
14,25.7737,0.92194,1.12442,1.07971,0.60877,0.572,0.58642,0.41903,1.05512,1.79478,1.10831,0.00106118,0.00106118,0.00106118
15,27.7897,0.89971,1.06786,1.08413,0.51692,0.6929,0.65894,0.47244,1.0639,1.6145,1.08306,0.00103288,0.00103288,0.00103288
16,29.7747,0.90903,1.0827,1.06816,0.77281,0.59372,0.69704,0.48565,1.06169,1.38205,1.11783,0.00100459,0.00100459,0.00100459
17,31.7537,0.93251,1.05106,1.09188,0.69286,0.76461,0.76411,0.53506,1.05453,1.19225,1.09465,0.000976293,0.000976293,0.000976293
18,33.7931,0.90662,1.05039,1.08514,0.65801,0.77937,0.73747,0.53552,1.08156,1.11292,1.10267,0.000947999,0.000947999,0.000947999
19,35.7777,0.86607,0.94797,1.06665,0.76275,0.68177,0.7351,0.5426,0.99193,1.09746,1.0581,0.000919704,0.000919704,0.000919704
