epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5421,1.54753,2.53061,1.61953,0.41315,0.62671,0.52153,0.3503,1.1191,4.10035,1.15924,0.00040012,0.00040012,0.00040012
2,74.7828,1.35966,1.56115,1.37808,0.34864,0.42298,0.29016,0.15738,1.51666,3.36304,1.45915,0.000806466,0.000806466,0.000806466
3,108.078,1.40457,1.4854,1.45859,0.42677,0.29316,0.23014,0.12514,1.93016,2.71065,1.82945,0.00120461,0.00120461,0.00120461
4,141.626,1.38804,1.42208,1.4473,0.34295,0.40809,0.32329,0.1987,1.58425,2.25533,1.61141,0.00138656,0.00138656,0.00138656
5,173.991,1.3516,1.30093,1.43797,0.48539,0.36026,0.3394,0.15852,2.05907,3.02918,2.26315,0.00137241,0.00137241,0.00137241
6,206.641,1.3342,1.23229,1.42198,0.55428,0.53002,0.49865,0.30733,1.41277,1.80857,1.40942,0.00135826,0.00135826,0.00135826
7,239.256,1.28784,1.16537,1.38862,0.61338,0.62022,0.63093,0.42594,1.22208,1.41765,1.30576,0.00134412,0.00134412,0.00134412
8,274.199,1.28863,1.12672,1.40154,0.62515,0.52771,0.56771,0.33992,1.44032,1.5598,1.47629,0.00132997,0.00132997,0.00132997
9,306.396,1.2429,1.08469,1.37631,0.56577,0.61585,0.56296,0.35004,1.35576,1.54393,1.38474,0.00131582,0.00131582,0.00131582
10,341.359,1.23974,1.05983,1.36081,0.55051,0.60506,0.54615,0.363,1.27749,1.51124,1.32691,0.00130168,0.00130168,0.00130168
11,374.019,1.24179,1.03639,1.36821,0.55828,0.74557,0.65045,0.42938,1.2234,1.27866,1.29034,0.00128753,0.00128753,0.00128753
12,407.637,1.19514,0.95941,1.3533,0.61296,0.64894,0.65016,0.40753,1.33932,1.35541,1.37893,0.00127338,0.00127338,0.00127338
13,440.236,1.17253,0.98551,1.3342,0.70824,0.61523,0.63597,0.37895,1.40289,1.51875,1.35543,0.00125923,0.00125923,0.00125923
14,472.511,1.21838,0.99594,1.32969,0.61874,0.61051,0.63607,0.38683,1.41653,1.34954,1.38275,0.00124509,0.00124509,0.00124509
15,506.577,1.08694,0.8926,1.26638,0.63527,0.60503,0.57348,0.33912,1.52993,1.33773,1.5367,0.00123094,0.00123094,0.00123094
16,541.13,1.11036,0.85299,1.28756,0.69168,0.67021,0.70248,0.43986,1.32069,1.11399,1.315,0.00121679,0.00121679,0.00121679
17,572.168,1.08627,0.86512,1.26749,0.66188,0.66723,0.68636,0.46012,1.27016,1.20548,1.31076,0.00120265,0.00120265,0.00120265
18,607.343,1.05917,0.8363,1.25611,0.68247,0.58345,0.64943,0.38337,1.5205,1.37538,1.52166,0.0011885,0.0011885,0.0011885
19,640.279,1.04032,0.82187,1.2515,0.68348,0.71373,0.72477,0.4985,1.14639,1.03914,1.24442,0.00117435,0.00117435,0.00117435
20,672.8,1.06924,0.83215,1.25973,0.70524,0.64601,0.70805,0.44601,1.3128,1.21373,1.33876,0.00116021,0.00116021,0.00116021
21,706.002,1.03236,0.79864,1.23484,0.62623,0.72797,0.67582,0.4095,1.48101,1.16639,1.47503,0.00114606,0.00114606,0.00114606
22,739.086,1.00781,0.76452,1.23622,0.75793,0.61275,0.69973,0.37986,1.57278,1.19271,1.48251,0.00113191,0.00113191,0.00113191
23,770.479,0.98743,0.79181,1.21261,0.7471,0.64923,0.70513,0.4242,1.44123,1.20893,1.44151,0.00111776,0.00111776,0.00111776
24,802.259,0.99573,0.75162,1.22591,0.689,0.67542,0.7004,0.45474,1.3483,1.14124,1.40391,0.00110362,0.00110362,0.00110362
25,834.608,0.99651,0.72543,1.20135,0.65937,0.77241,0.70345,0.43593,1.35782,1.12867,1.38148,0.00108947,0.00108947,0.00108947
26,866.533,0.96467,0.71074,1.18906,0.776,0.69356,0.74855,0.43769,1.43014,1.09774,1.47414,0.00107532,0.00107532,0.00107532
27,898.419,0.94834,0.73415,1.17405,0.74763,0.72916,0.74781,0.49395,1.20429,1.02769,1.29658,0.00106118,0.00106118,0.00106118
28,931.014,0.94169,0.69815,1.1793,0.64985,0.79195,0.6922,0.42296,1.35805,1.07415,1.37215,0.00104703,0.00104703,0.00104703
29,963.648,0.89752,0.69219,1.15947,0.6949,0.7282,0.73099,0.45659,1.30702,1.08352,1.34626,0.00103288,0.00103288,0.00103288
30,996.559,0.9035,0.6839,1.16311,0.66099,0.6396,0.63764,0.3676,1.56563,1.19498,1.55113,0.00101873,0.00101873,0.00101873
31,1028.64,0.93141,0.70301,1.16874,0.74379,0.68142,0.69743,0.46259,1.2595,1.16708,1.33434,0.00100459,0.00100459,0.00100459
32,1060.71,0.90423,0.67361,1.1433,0.69724,0.69994,0.6803,0.42647,1.39917,1.08454,1.46752,0.00099044,0.00099044,0.00099044
33,1092.97,0.87735,0.62827,1.12403,0.73135,0.70807,0.7211,0.48419,1.25577,1.05729,1.31761,0.000976293,0.000976293,0.000976293
34,1125.17,0.85974,0.62887,1.13057,0.73662,0.69514,0.73426,0.48909,1.28031,1.11048,1.32316,0.000962146,0.000962146,0.000962146
35,1157.11,0.89057,0.65614,1.14788,0.72981,0.7914,0.75581,0.4943,1.22924,1.00014,1.29557,0.000947999,0.000947999,0.000947999
36,1189.67,0.85363,0.61908,1.12043,0.70817,0.7146,0.70454,0.44639,1.35113,1.13125,1.39534,0.000933851,0.000933851,0.000933851
37,1223.77,0.86527,0.63529,1.13499,0.62026,0.66278,0.60061,0.35389,1.60164,1.17968,1.71175,0.000919704,0.000919704,0.000919704
38,1255.93,0.84038,0.60436,1.11784,0.71772,0.74608,0.76401,0.49604,1.27447,0.97785,1.39647,0.000905557,0.000905557,0.000905557
39,1288.95,0.82602,0.59626,1.11229,0.71056,0.72058,0.7486,0.51183,1.22116,1.00005,1.31453,0.00089141,0.00089141,0.00089141
40,1321.54,0.82456,0.58312,1.10932,0.76832,0.64237,0.72901,0.47387,1.33363,1.06384,1.4151,0.000877263,0.000877263,0.000877263
41,1352.19,0.82221,0.58354,1.10256,0.73651,0.72253,0.74641,0.43771,1.39362,1.06174,1.43429,0.000863116,0.000863116,0.000863116
42,1385.48,0.83378,0.5902,1.11994,0.72019,0.77363,0.74604,0.48634,1.2544,1.06473,1.37397,0.000848969,0.000848969,0.000848969
43,1417.95,0.79181,0.57767,1.08033,0.77179,0.76914,0.79496,0.52992,1.20663,0.9261,1.27528,0.000834822,0.000834822,0.000834822
44,1450.92,0.81615,0.57035,1.09907,0.65072,0.76149,0.71489,0.47349,1.30493,1.04183,1.40808,0.000820675,0.000820675,0.000820675
45,1482.57,0.79004,0.55344,1.0901,0.74591,0.73167,0.78018,0.52291,1.20158,0.94849,1.30262,0.000806528,0.000806528,0.000806528
46,1515.59,0.77298,0.55597,1.07726,0.71028,0.71078,0.73272,0.4612,1.37932,1.04929,1.41926,0.00079238,0.00079238,0.00079238
47,1547.18,0.78104,0.55464,1.0791,0.70613,0.77002,0.76579,0.51042,1.20963,1.00424,1.29726,0.000778233,0.000778233,0.000778233
48,1579.44,0.73202,0.52988,1.05289,0.68822,0.74459,0.72695,0.47073,1.29607,1.05366,1.36419,0.000764086,0.000764086,0.000764086
49,1611.94,0.7401,0.52404,1.05967,0.76639,0.71803,0.73996,0.4709,1.37232,1.10091,1.41494,0.000749939,0.000749939,0.000749939
50,1644.09,0.74251,0.52812,1.05455,0.73854,0.61895,0.67548,0.42647,1.41769,1.14361,1.47148,0.000735792,0.000735792,0.000735792
51,1678.33,0.74925,0.5307,1.07068,0.69885,0.76554,0.7417,0.4825,1.22625,1.03851,1.30936,0.000721645,0.000721645,0.000721645
52,1711.28,0.72988,0.50948,1.04878,0.76812,0.72745,0.77768,0.50856,1.22263,0.92204,1.30554,0.000707498,0.000707498,0.000707498
53,1744.62,0.70341,0.50568,1.03382,0.78851,0.68724,0.74937,0.4839,1.29765,0.98214,1.34856,0.000693351,0.000693351,0.000693351
54,1776.58,0.71237,0.49068,1.04269,0.72683,0.64804,0.6932,0.45716,1.37638,1.11281,1.44103,0.000679204,0.000679204,0.000679204
55,1807.16,0.69853,0.50662,1.03745,0.7894,0.70831,0.75517,0.50268,1.25657,0.96343,1.33902,0.000665057,0.000665057,0.000665057
56,1839.36,0.73444,0.52495,1.06238,0.69087,0.69933,0.73295,0.44731,1.38491,1.0009,1.44141,0.000650909,0.000650909,0.000650909
57,1870.91,0.68381,0.50245,1.03719,0.7724,0.71936,0.7478,0.48161,1.36649,0.96618,1.44543,0.000636762,0.000636762,0.000636762
58,1905.74,0.66971,0.49197,1.03141,0.66673,0.72326,0.71159,0.45925,1.32258,1.06501,1.42118,0.000622615,0.000622615,0.000622615
59,1937.8,0.67559,0.48217,1.03105,0.70884,0.76471,0.74785,0.46501,1.34309,1.10417,1.40653,0.000608468,0.000608468,0.000608468
60,1971.38,0.67983,0.49475,1.03817,0.72695,0.77763,0.78059,0.49741,1.26981,0.94817,1.34277,0.000594321,0.000594321,0.000594321
61,2003.17,0.64597,0.46783,1.00676,0.73303,0.73385,0.74204,0.46363,1.33274,1.04897,1.40623,0.000580174,0.000580174,0.000580174
62,2037.95,0.63644,0.45866,1.00381,0.80153,0.7449,0.80412,0.51862,1.19466,0.91403,1.31156,0.000566027,0.000566027,0.000566027
63,2069.55,0.6468,0.45587,1.01252,0.75252,0.75001,0.75154,0.49601,1.21933,1.01481,1.31072,0.00055188,0.00055188,0.00055188
64,2102.51,0.65286,0.45628,1.01063,0.77963,0.71944,0.7626,0.51778,1.16963,0.97064,1.27613,0.000537733,0.000537733,0.000537733
65,2135.64,0.61579,0.43783,0.98942,0.71952,0.79118,0.73919,0.48968,1.19609,1.05058,1.30216,0.000523586,0.000523586,0.000523586
66,2168.44,0.61167,0.44231,0.98557,0.71419,0.69051,0.7067,0.45109,1.3362,1.12863,1.43023,0.000509438,0.000509438,0.000509438
67,2201.82,0.62101,0.45511,0.99186,0.78697,0.75227,0.76197,0.5123,1.25316,1.03441,1.33925,0.000495291,0.000495291,0.000495291
68,2233.44,0.62025,0.44409,0.99278,0.72476,0.74168,0.74768,0.48859,1.27501,1.04708,1.35982,0.000481144,0.000481144,0.000481144
69,2267.8,0.61968,0.4294,0.98939,0.78211,0.71406,0.79041,0.50635,1.25755,0.97303,1.35143,0.000466997,0.000466997,0.000466997
70,2301.49,0.59834,0.44388,0.98962,0.70776,0.83242,0.8006,0.55196,1.14011,0.9316,1.25932,0.00045285,0.00045285,0.00045285
71,2335,0.58513,0.42258,0.9853,0.75106,0.74988,0.77348,0.52748,1.19828,0.94293,1.3314,0.000438703,0.000438703,0.000438703
72,2367.3,0.59003,0.42793,0.98575,0.73007,0.75675,0.77963,0.50092,1.30005,0.94377,1.40336,0.000424556,0.000424556,0.000424556
73,2400.46,0.58194,0.4093,0.97628,0.72237,0.74742,0.74066,0.48647,1.28477,1.04133,1.39112,0.000410409,0.000410409,0.000410409
74,2433.85,0.55144,0.39725,0.9698,0.75551,0.70433,0.72026,0.47561,1.306,1.10971,1.41787,0.000396262,0.000396262,0.000396262
75,2468.55,0.5697,0.39618,0.97099,0.80432,0.68127,0.74289,0.50135,1.21061,1.09692,1.32092,0.000382115,0.000382115,0.000382115
76,2502.23,0.57923,0.40796,0.98251,0.79402,0.71131,0.76216,0.49384,1.28065,1.0044,1.40006,0.000367967,0.000367967,0.000367967
